"","DEPARTAMENTO","FECHA","CASOS","FALLECIDOS","FALLECIDOS_SINADEF","FALLECIDOS_2019","EXCESO_MUERTES"
"3","AMAZONAS",202003,0,0,68,79,-11
"5","AMAZONAS",202004,165,2,64,74,-10
"7","AMAZONAS",202005,618,34,82,64,18
"9","AMAZONAS",202006,1762,95,117,78,39
"11","AMAZONAS",202007,4172,203,201,93,108
"13","AMAZONAS",202008,5159,88,128,99,29
"15","AMAZONAS",202009,3752,75,95,71,24
"16","AMAZONAS",202010,1681,33,75,94,-19
"17","AMAZONAS",202011,822,20,58,67,-9
"18","AMAZONAS",202012,431,23,67,56,11
"1","AMAZONAS",202101,1189,50,105,81,24
"2","AMAZONAS",202102,1526,81,127,86,41
"4","AMAZONAS",202103,2091,87,123,79,44
"6","AMAZONAS",202104,3277,152,158,74,84
"8","AMAZONAS",202105,2190,161,167,64,103
"10","AMAZONAS",202106,1288,67,96,78,18
"12","AMAZONAS",202107,632,46,97,93,4
"14","AMAZONAS",202108,432,22,71,99,-28
"21","ANCASH",202003,13,3,503,475,28
"23","ANCASH",202004,945,124,538,419,119
"25","ANCASH",202005,3803,503,1009,475,534
"27","ANCASH",202006,3595,598,1169,437,732
"29","ANCASH",202007,4300,604,1147,492,655
"31","ANCASH",202008,6391,456,969,507,462
"33","ANCASH",202009,4229,236,644,467,177
"34","ANCASH",202010,3763,121,543,498,45
"35","ANCASH",202011,1951,99,522,484,38
"36","ANCASH",202012,2085,142,583,530,53
"19","ANCASH",202101,5761,397,940,491,449
"20","ANCASH",202102,5846,419,930,431,499
"22","ANCASH",202103,9203,627,1274,475,799
"24","ANCASH",202104,11292,1077,1735,419,1316
"26","ANCASH",202105,6482,786,1331,475,856
"28","ANCASH",202106,2891,261,761,437,324
"30","ANCASH",202107,1682,103,599,492,107
"32","ANCASH",202108,1062,43,467,507,-40
"39","APURIMAC",202003,0,0,122,153,-31
"41","APURIMAC",202004,156,4,139,130,9
"43","APURIMAC",202005,130,5,158,133,25
"45","APURIMAC",202006,332,21,175,128,47
"47","APURIMAC",202007,417,33,186,124,62
"49","APURIMAC",202008,2058,90,248,163,85
"51","APURIMAC",202009,1883,76,248,141,107
"52","APURIMAC",202010,972,46,206,148,58
"53","APURIMAC",202011,690,38,196,160,36
"54","APURIMAC",202012,1043,47,244,156,88
"37","APURIMAC",202101,2035,142,333,163,170
"38","APURIMAC",202102,1691,116,295,110,185
"40","APURIMAC",202103,2602,148,373,153,220
"42","APURIMAC",202104,5817,274,471,130,341
"44","APURIMAC",202105,3396,288,483,133,350
"46","APURIMAC",202106,1539,95,286,128,158
"48","APURIMAC",202107,745,40,224,124,100
"50","APURIMAC",202108,307,18,184,163,21
"57","AREQUIPA",202003,30,2,567,590,-23
"59","AREQUIPA",202004,803,48,576,572,4
"61","AREQUIPA",202005,2863,126,657,571,86
"63","AREQUIPA",202006,3556,559,1208,596,612
"65","AREQUIPA",202007,8090,1515,2651,659,1992
"67","AREQUIPA",202008,18879,1182,1901,583,1318
"69","AREQUIPA",202009,8457,379,836,586,250
"70","AREQUIPA",202010,2569,171,658,554,104
"71","AREQUIPA",202011,1447,121,618,551,67
"72","AREQUIPA",202012,1874,154,703,615,88
"55","AREQUIPA",202101,5678,482,1095,536,559
"56","AREQUIPA",202102,6860,655,1214,508,706
"58","AREQUIPA",202103,5372,460,1076,590,486
"60","AREQUIPA",202104,7215,568,1114,572,542
"62","AREQUIPA",202105,13268,1097,1701,571,1130
"64","AREQUIPA",202106,17089,1426,2187,596,1591
"66","AREQUIPA",202107,7070,523,1177,659,518
"68","AREQUIPA",202108,2251,124,676,583,93
"75","AYACUCHO",202003,1,1,137,166,-29
"77","AYACUCHO",202004,151,7,139,206,-67
"79","AYACUCHO",202005,698,34,186,184,2
"81","AYACUCHO",202006,1052,63,183,175,8
"83","AYACUCHO",202007,2349,174,258,173,85
"85","AYACUCHO",202008,4582,303,343,180,163
"87","AYACUCHO",202009,3111,126,253,188,65
"88","AYACUCHO",202010,1767,65,209,173,36
"89","AYACUCHO",202011,943,32,200,192,8
"90","AYACUCHO",202012,721,31,286,195,91
"73","AYACUCHO",202101,1628,74,303,202,101
"74","AYACUCHO",202102,2518,187,399,172,227
"76","AYACUCHO",202103,3657,293,592,166,426
"78","AYACUCHO",202104,3253,240,488,206,282
"80","AYACUCHO",202105,2617,241,467,184,283
"82","AYACUCHO",202106,1619,116,314,175,139
"84","AYACUCHO",202107,1228,61,286,173,113
"86","AYACUCHO",202108,1007,33,241,180,61
"93","CAJAMARCA",202003,1,0,290,320,-30
"95","CAJAMARCA",202004,271,18,260,285,-25
"97","CAJAMARCA",202005,558,29,315,261,54
"99","CAJAMARCA",202006,1582,122,409,264,145
"101","CAJAMARCA",202007,5574,568,872,297,575
"103","CAJAMARCA",202008,8878,430,712,269,443
"105","CAJAMARCA",202009,4232,185,506,238,268
"106","CAJAMARCA",202010,1835,97,394,293,101
"107","CAJAMARCA",202011,1294,68,324,249,75
"108","CAJAMARCA",202012,1252,91,357,275,82
"91","CAJAMARCA",202101,3506,163,524,307,217
"92","CAJAMARCA",202102,4463,258,623,276,347
"94","CAJAMARCA",202103,8374,431,869,320,549
"96","CAJAMARCA",202104,10650,736,1173,285,888
"98","CAJAMARCA",202105,6675,552,969,261,708
"100","CAJAMARCA",202106,3213,166,539,264,275
"102","CAJAMARCA",202107,1689,105,472,297,175
"104","CAJAMARCA",202108,881,57,430,269,161
"111","CALLAO",202003,46,5,422,364,58
"113","CALLAO",202004,4228,376,663,332,331
"115","CALLAO",202005,8649,1285,1721,358,1363
"117","CALLAO",202006,5675,1134,1582,370,1212
"119","CALLAO",202007,3829,828,1213,381,832
"121","CALLAO",202008,6447,715,1068,389,679
"123","CALLAO",202009,6019,385,749,424,325
"124","CALLAO",202010,3815,211,553,385,168
"125","CALLAO",202011,2626,125,449,331,118
"126","CALLAO",202012,2366,155,510,352,158
"109","CALLAO",202101,5899,535,923,362,561
"110","CALLAO",202102,9538,1068,1439,386,1053
"112","CALLAO",202103,16007,1130,1508,364,1144
"114","CALLAO",202104,17187,1016,1423,332,1091
"116","CALLAO",202105,3193,571,952,358,594
"118","CALLAO",202106,1815,217,601,370,231
"120","CALLAO",202107,1158,97,490,381,109
"122","CALLAO",202108,962,55,475,389,86
"129","CUSCO",202003,34,6,481,514,-33
"131","CUSCO",202004,284,4,450,458,-8
"133","CUSCO",202005,842,15,455,501,-46
"135","CUSCO",202006,777,32,517,552,-35
"137","CUSCO",202007,3059,261,806,560,246
"139","CUSCO",202008,10852,768,1439,561,878
"141","CUSCO",202009,4963,255,721,528,193
"142","CUSCO",202010,2025,109,591,539,52
"143","CUSCO",202011,1351,72,517,523,-6
"144","CUSCO",202012,1323,74,611,583,28
"127","CUSCO",202101,3565,220,828,571,257
"128","CUSCO",202102,6479,469,1007,503,504
"130","CUSCO",202103,8910,569,1151,514,637
"132","CUSCO",202104,10801,702,1255,458,797
"134","CUSCO",202105,8099,629,1228,501,727
"136","CUSCO",202106,4727,298,855,552,303
"138","CUSCO",202107,2595,142,680,560,120
"140","CUSCO",202108,1322,75,547,561,-14
"147","HUANCAVELICA",202003,1,0,159,147,12
"149","HUANCAVELICA",202004,135,5,194,155,39
"151","HUANCAVELICA",202005,424,12,192,158,34
"153","HUANCAVELICA",202006,353,11,194,161,33
"155","HUANCAVELICA",202007,946,81,270,163,107
"157","HUANCAVELICA",202008,3099,166,356,195,161
"159","HUANCAVELICA",202009,1888,54,215,170,45
"160","HUANCAVELICA",202010,547,32,167,181,-14
"161","HUANCAVELICA",202011,308,18,175,145,30
"162","HUANCAVELICA",202012,223,12,185,159,26
"145","HUANCAVELICA",202101,665,63,263,152,111
"146","HUANCAVELICA",202102,1123,146,366,170,196
"148","HUANCAVELICA",202103,1298,135,378,147,231
"150","HUANCAVELICA",202104,2296,185,410,155,255
"152","HUANCAVELICA",202105,1444,132,363,158,205
"154","HUANCAVELICA",202106,555,46,221,161,60
"156","HUANCAVELICA",202107,357,23,231,163,68
"158","HUANCAVELICA",202108,276,21,172,195,-23
"165","HUANUCO",202003,6,0,268,274,-6
"167","HUANUCO",202004,298,5,255,239,16
"169","HUANUCO",202005,542,59,287,235,52
"171","HUANUCO",202006,1681,147,388,240,148
"173","HUANUCO",202007,4845,295,551,219,332
"175","HUANUCO",202008,6671,264,503,235,268
"177","HUANUCO",202009,2989,101,338,228,110
"178","HUANUCO",202010,1151,68,307,248,59
"179","HUANUCO",202011,1036,52,262,241,21
