,ubigeo_inei,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF,FALLECIDOS_2019,EXCESO_MUERTES
4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202003,0,0,16,10,6
6,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202004,47,0,5,10,-5
7,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202005,165,3,10,9,1
10,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202006,119,2,15,7,8
12,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202007,175,2,6,16,-10
13,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202008,445,15,28,16,12
15,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202009,551,16,27,10,17
16,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202010,307,5,15,15,0
17,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202011,106,3,8,10,-2
18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202012,64,0,10,8,2
1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202101,479,7,19,12,7
2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202102,599,13,29,20,9
3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202103,925,22,29,10,19
5,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202104,882,42,46,10,36
8,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202105,445,37,48,9,39
9,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202106,285,13,19,7,12
11,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202107,110,5,14,16,-2
14,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202108,129,5,10,16,-6
21,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202003,0,0,0,1,-1
24,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202004,0,0,0,0,0
26,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202005,0,0,0,0,0
27,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202006,6,0,0,0,0
30,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202007,0,0,0,0,0
32,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202008,7,0,0,0,0
33,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202009,11,1,0,0,0
34,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202010,6,0,0,0,0
35,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202011,3,0,0,0,0
36,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202012,0,0,0,0,0
19,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202101,13,1,1,0,1
20,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202102,6,0,2,0,2
22,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202103,11,0,0,1,-1
23,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202104,19,0,1,0,1
25,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202105,3,0,0,0,0
28,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202106,2,1,0,0,0
29,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202107,2,0,0,0,0
31,10103,AMAZONAS,CHACHAPOYAS,BALSAS,202108,2,0,0,0,0
40,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202003,0,0,0,0,0
41,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202004,0,0,0,1,-1
44,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202005,0,0,0,0,0
45,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202006,0,0,0,0,0
48,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202007,0,0,0,0,0
50,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202008,1,0,0,0,0
51,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202009,0,0,0,0,0
52,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202010,0,0,0,0,0
53,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202011,0,0,0,1,-1
54,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202012,0,1,1,0,1
37,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202101,0,0,0,0,0
38,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202102,0,0,0,0,0
39,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202103,0,0,0,0,0
42,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202104,4,0,0,1,-1
43,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202105,0,0,0,0,0
46,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202106,0,0,0,0,0
47,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202107,1,1,1,0,1
49,10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,202108,0,0,0,0,0
57,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202003,0,0,0,0,0
59,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202004,0,0,0,0,0
61,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202005,0,0,1,0,1
64,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202006,0,0,0,0,0
66,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202007,1,0,0,0,0
67,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202008,0,0,3,0,3
69,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202009,1,0,1,0,1
70,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202010,0,0,1,0,1
71,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202011,0,0,0,0,0
72,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202012,0,0,0,0,0
55,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202101,5,0,0,2,-2
56,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202102,2,0,0,0,0
58,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202103,1,0,0,0,0
60,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202104,0,1,1,0,1
62,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202105,6,1,2,0,2
63,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202106,13,0,0,0,0
65,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202107,5,1,2,0,2
68,10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,202108,2,1,2,0,2
75,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202003,0,0,0,0,0
78,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202004,0,0,0,0,0
80,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202005,3,0,0,0,0
81,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202006,0,0,1,1,0
83,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202007,0,0,0,0,0
86,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202008,4,0,0,1,-1
87,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202009,6,3,0,0,0
88,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202010,2,0,0,0,0
89,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202011,0,1,0,1,-1
90,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202012,1,0,0,0,0
73,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202101,1,0,0,0,0
74,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202102,1,0,0,0,0
76,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202103,1,0,0,0,0
77,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202104,2,0,1,0,1
79,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202105,0,0,0,0,0
82,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202106,0,0,0,1,-1
84,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202107,0,0,0,0,0
85,10108,AMAZONAS,CHACHAPOYAS,HUANCAS,202108,0,0,0,1,-1
93,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202003,0,0,2,3,-1
95,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202004,0,0,2,0,2
98,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202005,1,0,5,1,4
100,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202006,0,1,1,4,-3
101,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202007,4,0,2,0,2
104,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202008,7,0,1,1,0
105,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202009,8,0,0,1,-1
106,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202010,10,0,5,2,3
107,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202011,6,0,5,1,4
108,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202012,0,0,2,0,2
91,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202101,3,0,1,2,-1
92,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202102,8,1,3,1,2
94,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202103,22,0,0,3,-3
96,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202104,17,0,4,0,4
97,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202105,7,0,4,1,3
99,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202106,8,0,5,4,1
102,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202107,1,1,6,0,6
103,10109,AMAZONAS,CHACHAPOYAS,LA JALCA,202108,8,0,2,1,1
112,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202003,0,0,3,1,2
113,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202004,2,0,1,0,1
116,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202005,2,0,1,2,-1
118,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202006,3,0,2,3,-1
119,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202007,0,0,3,3,0
121,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202008,5,0,2,1,1
123,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202009,4,0,1,0,1
124,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202010,0,0,1,0,1
125,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202011,0,0,2,0,2
126,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202012,1,0,4,1,3
109,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202101,13,1,4,4,0
110,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202102,34,1,3,2,1
111,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202103,35,0,0,1,-1
114,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202104,38,0,0,0,0
115,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202105,28,1,1,2,-1
117,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202106,4,2,3,3,0
120,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202107,0,1,2,3,-1
122,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,202108,2,0,0,1,-1
129,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202003,0,0,0,0,0
132,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202004,1,0,0,1,-1
133,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202005,2,1,0,0,0
136,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202006,0,0,2,0,2
137,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202007,4,0,0,0,0
140,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202008,0,0,0,0,0
141,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202009,2,0,0,0,0
142,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202010,2,0,0,0,0
143,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202011,0,0,0,1,-1
144,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202012,0,1,1,0,1
127,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202101,0,0,0,1,-1
128,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202102,4,1,0,0,0
130,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202103,6,1,2,0,2
131,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202104,13,0,0,1,-1
134,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202105,2,0,0,0,0
135,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202106,0,0,0,0,0
138,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202107,0,0,0,0,0
139,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,202108,0,0,0,0,0
148,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,202003,0,0,0,0,0
149,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,202004,0,0,0,2,-2
151,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,202005,0,0,1,0,1
154,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,202006,1,0,3,0,3
156,10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,202007,1,0,0,0,0
