,ubigeo_inei,DEPARTAMENTO,PROVINCIA,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF,FALLECIDOS_2019,EXCESO_MUERTES
165,101,AMAZONAS,CHACHAPOYAS,202003,0,0,24,20,4
167,101,AMAZONAS,CHACHAPOYAS,202004,59,0,11,17,-6
169,101,AMAZONAS,CHACHAPOYAS,202005,181,4,19,14,5
171,101,AMAZONAS,CHACHAPOYAS,202006,130,4,27,16,11
173,101,AMAZONAS,CHACHAPOYAS,202007,192,2,14,22,-8
175,101,AMAZONAS,CHACHAPOYAS,202008,493,15,35,24,11
177,101,AMAZONAS,CHACHAPOYAS,202009,601,21,33,14,19
178,101,AMAZONAS,CHACHAPOYAS,202010,333,6,23,17,6
179,101,AMAZONAS,CHACHAPOYAS,202011,118,4,18,17,1
180,101,AMAZONAS,CHACHAPOYAS,202012,67,2,20,10,10
163,101,AMAZONAS,CHACHAPOYAS,202101,520,9,30,25,5
164,101,AMAZONAS,CHACHAPOYAS,202102,674,23,45,27,18
166,101,AMAZONAS,CHACHAPOYAS,202103,1040,28,39,20,19
168,101,AMAZONAS,CHACHAPOYAS,202104,1024,49,59,17,42
170,101,AMAZONAS,CHACHAPOYAS,202105,510,42,61,14,47
172,101,AMAZONAS,CHACHAPOYAS,202106,317,17,32,16,16
174,101,AMAZONAS,CHACHAPOYAS,202107,122,10,32,22,10
176,101,AMAZONAS,CHACHAPOYAS,202108,144,7,19,24,-5
219,102,AMAZONAS,BAGUA,202003,0,0,7,13,-6
221,102,AMAZONAS,BAGUA,202004,39,0,17,15,2
223,102,AMAZONAS,BAGUA,202005,177,7,16,13,3
225,102,AMAZONAS,BAGUA,202006,723,44,39,14,25
227,102,AMAZONAS,BAGUA,202007,1750,125,120,21,99
229,102,AMAZONAS,BAGUA,202008,2519,44,42,13,29
231,102,AMAZONAS,BAGUA,202009,2026,26,17,11,6
232,102,AMAZONAS,BAGUA,202010,500,9,16,15,1
233,102,AMAZONAS,BAGUA,202011,279,6,15,14,1
234,102,AMAZONAS,BAGUA,202012,113,5,6,3,3
217,102,AMAZONAS,BAGUA,202101,97,7,17,2,15
218,102,AMAZONAS,BAGUA,202102,155,17,21,17,4
220,102,AMAZONAS,BAGUA,202103,231,14,13,13,0
222,102,AMAZONAS,BAGUA,202104,593,27,27,15,12
224,102,AMAZONAS,BAGUA,202105,548,38,21,13,8
226,102,AMAZONAS,BAGUA,202106,312,18,16,14,2
228,102,AMAZONAS,BAGUA,202107,145,14,12,21,-9
230,102,AMAZONAS,BAGUA,202108,60,6,10,13,-3
237,103,AMAZONAS,BONGARA,202003,0,0,8,7,1
239,103,AMAZONAS,BONGARA,202004,14,1,4,2,2
241,103,AMAZONAS,BONGARA,202005,9,1,6,6,0
243,103,AMAZONAS,BONGARA,202006,22,0,4,9,-5
245,103,AMAZONAS,BONGARA,202007,58,2,8,9,-1
247,103,AMAZONAS,BONGARA,202008,89,5,11,10,1
249,103,AMAZONAS,BONGARA,202009,111,7,13,8,5
250,103,AMAZONAS,BONGARA,202010,42,5,7,14,-7
251,103,AMAZONAS,BONGARA,202011,22,0,6,6,0
252,103,AMAZONAS,BONGARA,202012,22,3,11,4,7
235,103,AMAZONAS,BONGARA,202101,66,6,16,11,5
236,103,AMAZONAS,BONGARA,202102,83,5,12,7,5
238,103,AMAZONAS,BONGARA,202103,151,4,6,7,-1
240,103,AMAZONAS,BONGARA,202104,243,9,14,2,12
242,103,AMAZONAS,BONGARA,202105,166,11,13,6,7
244,103,AMAZONAS,BONGARA,202106,73,2,9,9,0
246,103,AMAZONAS,BONGARA,202107,33,3,8,9,-1
248,103,AMAZONAS,BONGARA,202108,30,0,10,10,0
255,104,AMAZONAS,CONDORCANQUI,202003,0,0,1,2,-1
257,104,AMAZONAS,CONDORCANQUI,202004,0,0,2,3,-1
259,104,AMAZONAS,CONDORCANQUI,202005,3,2,5,0,5
261,104,AMAZONAS,CONDORCANQUI,202006,190,16,6,0,6
263,104,AMAZONAS,CONDORCANQUI,202007,1071,39,14,1,13
265,104,AMAZONAS,CONDORCANQUI,202008,980,4,1,3,-2
267,104,AMAZONAS,CONDORCANQUI,202009,461,5,6,2,4
268,104,AMAZONAS,CONDORCANQUI,202010,454,1,3,3,0
269,104,AMAZONAS,CONDORCANQUI,202011,227,1,2,2,0
270,104,AMAZONAS,CONDORCANQUI,202012,95,2,3,2,1
253,104,AMAZONAS,CONDORCANQUI,202101,39,1,3,3,0
254,104,AMAZONAS,CONDORCANQUI,202102,18,0,4,2,2
256,104,AMAZONAS,CONDORCANQUI,202103,68,5,14,2,12
258,104,AMAZONAS,CONDORCANQUI,202104,147,8,7,3,4
260,104,AMAZONAS,CONDORCANQUI,202105,110,5,5,0,5
262,104,AMAZONAS,CONDORCANQUI,202106,79,4,5,0,5
264,104,AMAZONAS,CONDORCANQUI,202107,19,1,5,1,4
266,104,AMAZONAS,CONDORCANQUI,202108,7,0,3,3,0
273,105,AMAZONAS,LUYA,202003,0,0,9,7,2
275,105,AMAZONAS,LUYA,202004,0,0,8,12,-4
277,105,AMAZONAS,LUYA,202005,22,3,8,7,1
279,105,AMAZONAS,LUYA,202006,108,2,12,13,-1
281,105,AMAZONAS,LUYA,202007,47,2,16,16,0
283,105,AMAZONAS,LUYA,202008,150,5,16,11,5
285,105,AMAZONAS,LUYA,202009,67,3,11,9,2
286,105,AMAZONAS,LUYA,202010,30,1,13,10,3
287,105,AMAZONAS,LUYA,202011,17,0,5,5,0
288,105,AMAZONAS,LUYA,202012,14,3,9,11,-2
271,105,AMAZONAS,LUYA,202101,21,4,16,17,-1
272,105,AMAZONAS,LUYA,202102,80,8,11,6,5
274,105,AMAZONAS,LUYA,202103,107,9,22,7,15
276,105,AMAZONAS,LUYA,202104,385,15,23,12,11
278,105,AMAZONAS,LUYA,202105,202,16,30,7,23
280,105,AMAZONAS,LUYA,202106,114,5,13,13,0
282,105,AMAZONAS,LUYA,202107,52,1,9,16,-7
284,105,AMAZONAS,LUYA,202108,44,2,13,11,2
291,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202003,0,0,1,11,-10
293,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202004,2,0,0,7,-7
295,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202005,1,0,3,5,-2
297,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202006,31,0,4,5,-1
299,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202007,15,1,4,4,0
301,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202008,14,1,5,9,-4
303,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202009,13,2,3,7,-4
304,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202010,12,2,4,7,-3
305,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202011,4,0,4,3,1
306,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202012,18,1,4,9,-5
289,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202101,201,6,5,4,1
290,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202102,183,12,12,6,6
292,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202103,127,7,6,11,-5
294,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202104,238,10,12,7,5
296,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202105,108,5,14,5,9
298,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202106,52,0,4,5,-1
300,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202107,95,2,8,4,4
302,106,AMAZONAS,RODRIGUEZ DE MENDOZA,202108,41,2,5,9,-4
309,107,AMAZONAS,UTCUBAMBA,202003,0,0,18,19,-1
311,107,AMAZONAS,UTCUBAMBA,202004,49,1,22,18,4
313,107,AMAZONAS,UTCUBAMBA,202005,201,17,25,19,6
315,107,AMAZONAS,UTCUBAMBA,202006,553,29,25,21,4
317,107,AMAZONAS,UTCUBAMBA,202007,1028,32,25,20,5
319,107,AMAZONAS,UTCUBAMBA,202008,898,14,18,29,-11
321,107,AMAZONAS,UTCUBAMBA,202009,464,11,12,20,-8
322,107,AMAZONAS,UTCUBAMBA,202010,303,9,9,28,-19
323,107,AMAZONAS,UTCUBAMBA,202011,154,9,8,20,-12
324,107,AMAZONAS,UTCUBAMBA,202012,99,7,14,17,-3
307,107,AMAZONAS,UTCUBAMBA,202101,241,17,18,19,-1
308,107,AMAZONAS,UTCUBAMBA,202102,311,16,22,21,1
310,107,AMAZONAS,UTCUBAMBA,202103,367,20,23,19,4
312,107,AMAZONAS,UTCUBAMBA,202104,642,34,16,18,-2
314,107,AMAZONAS,UTCUBAMBA,202105,542,44,23,19,4
316,107,AMAZONAS,UTCUBAMBA,202106,335,21,17,21,-4
318,107,AMAZONAS,UTCUBAMBA,202107,163,15,23,20,3
320,107,AMAZONAS,UTCUBAMBA,202108,102,5,11,29,-18
1479,201,ANCASH,HUARAZ,202003,1,0,70,76,-6
1481,201,ANCASH,HUARAZ,202004,106,5,72,61,11
1483,201,ANCASH,HUARAZ,202005,437,28,87,70,17
1485,201,ANCASH,HUARAZ,202006,732,67,145,73,72
1487,201,ANCASH,HUARAZ,202007,1338,164,252,75,177
1489,201,ANCASH,HUARAZ,202008,1779,121,175,94,81
1491,201,ANCASH,HUARAZ,202009,883,47,88,73,15
1492,201,ANCASH,HUARAZ,202010,1019,20,75,70,5
1493,201,ANCASH,HUARAZ,202011,242,8,71,63,8
1494,201,ANCASH,HUARAZ,202012,204,12,64,83,-19
1477,201,ANCASH,HUARAZ,202101,709,56,115,65,50
1478,201,ANCASH,HUARAZ,202102,1139,68,133,60,73
1480,201,ANCASH,HUARAZ,202103,2266,109,179,76,103
1482,201,ANCASH,HUARAZ,202104,1940,140,229,61,168
1484,201,ANCASH,HUARAZ,202105,1321,118,196,70,126
1486,201,ANCASH,HUARAZ,202106,700,32,92,73,19
1488,201,ANCASH,HUARAZ,202107,500,27,97,75,22
1490,201,ANCASH,HUARAZ,202108,560,14,78,94,-16
1497,202,ANCASH,AIJA,202003,0,0,1,1,0
1499,202,ANCASH,AIJA,202004,0,0,5,3,2
1501,202,ANCASH,AIJA,202005,5,0,0,4,-4
1503,202,ANCASH,AIJA,202006,1,0,3,1,2
1505,202,ANCASH,AIJA,202007,8,0,6,2,4
1507,202,ANCASH,AIJA,202008,38,1,4,8,-4
1509,202,ANCASH,AIJA,202009,20,1,2,7,-5
1510,202,ANCASH,AIJA,202010,5,0,1,1,0
1511,202,ANCASH,AIJA,202011,1,0,2,3,-1
1512,202,ANCASH,AIJA,202012,1,0,3,4,-1
1495,202,ANCASH,AIJA,202101,7,0,6,2,4
