,CODIGO,POBLACION,DEPARTAMENTO,PROVINCIA,DISTRITO,LLAVE,CASOS POR DISTRITO,PORCENTAJE_DISTRITO,FALLECIDOS POR DISTRITO,MORTALIDAD_DISTRITO,FALLECIDOS_SINADEF,PORC_MUERTES_COVID
1,10101,32589,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AMAZONASCHACHAPOYASCHACHAPOYAS,5833,17.9,190,3.26,354,53.67
2,10102,262,AMAZONAS,CHACHAPOYAS,ASUNCION,AMAZONASCHACHAPOYASASUNCION,4,1.53,0,0,NA,NA
3,10103,1136,AMAZONAS,CHACHAPOYAS,BALSAS,AMAZONASCHACHAPOYASBALSAS,91,8.01,3,3.3,4,75
4,10104,642,AMAZONAS,CHACHAPOYAS,CHETO,AMAZONASCHACHAPOYASCHETO,14,2.18,0,0,7,0
5,10105,585,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AMAZONASCHACHAPOYASCHILIQUIN,6,1.03,2,33.33,2,100
6,10106,1781,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AMAZONASCHACHAPOYASCHUQUIBAMBA,36,2.02,4,11.11,13,30.77
7,10107,480,AMAZONAS,CHACHAPOYAS,GRANADA,AMAZONASCHACHAPOYASGRANADA,6,1.25,0,0,NA,NA
8,10108,1258,AMAZONAS,CHACHAPOYAS,HUANCAS,AMAZONASCHACHAPOYASHUANCAS,21,1.67,4,19.05,2,200
9,10109,3978,AMAZONAS,CHACHAPOYAS,LA JALCA,AMAZONASCHACHAPOYASLAJALCA,110,2.77,3,2.73,50,6
10,10110,3620,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,AMAZONASCHACHAPOYASLEIMEBAMBA,171,4.72,6,3.51,33,18.18
11,10111,794,AMAZONAS,CHACHAPOYAS,LEVANTO,AMAZONASCHACHAPOYASLEVANTO,10,1.26,0,0,7,0
12,10112,852,AMAZONAS,CHACHAPOYAS,MAGDALENA,AMAZONASCHACHAPOYASMAGDALENA,36,4.23,4,11.11,5,80
13,10113,1367,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,AMAZONASCHACHAPOYASMARISCALCASTILLA,17,1.24,3,17.65,17,17.65
14,10114,2176,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,AMAZONASCHACHAPOYASMOLINOPAMPA,63,2.9,7,11.11,11,63.64
15,10115,496,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,AMAZONASCHACHAPOYASMONTEVIDEO,29,5.85,3,10.34,7,42.86
16,10116,375,AMAZONAS,CHACHAPOYAS,OLLEROS,AMAZONASCHACHAPOYASOLLEROS,6,1.6,0,0,2,0
17,10117,769,AMAZONAS,CHACHAPOYAS,QUINJALCA,AMAZONASCHACHAPOYASQUINJALCA,13,1.69,0,0,4,0
18,10118,295,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,AMAZONASCHACHAPOYASSANFRANCISCODEDAGUAS,15,5.08,5,33.33,4,125
19,10119,580,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,AMAZONASCHACHAPOYASSANISIDRODEMAINO,11,1.9,2,18.18,4,50
20,10120,1224,AMAZONAS,CHACHAPOYAS,SOLOCO,AMAZONASCHACHAPOYASSOLOCO,28,2.29,7,25,13,53.85
21,10121,247,AMAZONAS,CHACHAPOYAS,SONCHE,AMAZONASCHACHAPOYASSONCHE,5,2.02,0,0,2,0
22,10201,27102,AMAZONAS,BAGUA,BAGUA,AMAZONASBAGUABAGUA,2863,10.56,232,8.1,198,117.17
23,10202,9765,AMAZONAS,BAGUA,ARAMANGO,AMAZONASBAGUAARAMANGO,3601,36.88,57,1.58,49,116.33
24,10203,4595,AMAZONAS,BAGUA,COPALLIN,AMAZONASBAGUACOPALLIN,286,6.22,12,4.2,25,48
25,10204,1216,AMAZONAS,BAGUA,EL PARCO,AMAZONASBAGUAELPARCO,121,9.95,3,2.48,11,27.27
26,10205,25162,AMAZONAS,BAGUA,IMAZA,AMAZONASBAGUAIMAZA,2436,9.68,67,2.75,72,93.06
27,10206,6260,AMAZONAS,BAGUA,LA PECA,AMAZONASBAGUALAPECA,960,15.34,36,3.75,77,46.75
28,10301,1337,AMAZONAS,BONGARA,JUMBILLA,AMAZONASBONGARAJUMBILLA,37,2.77,4,10.81,9,44.44
29,10302,306,AMAZONAS,BONGARA,CHISQUILLA,AMAZONASBONGARACHISQUILLA,2,0.65,0,0,2,0
30,10303,287,AMAZONAS,BONGARA,CHURUJA,AMAZONASBONGARACHURUJA,40,13.94,1,2.5,5,20
31,10304,772,AMAZONAS,BONGARA,COROSHA,AMAZONASBONGARACOROSHA,6,0.78,0,0,3,0
32,10305,669,AMAZONAS,BONGARA,CUISPES,AMAZONASBONGARACUISPES,11,1.64,0,0,2,0
33,10306,5999,AMAZONAS,BONGARA,FLORIDA,AMAZONASBONGARAFLORIDA,167,2.78,9,5.39,36,25
34,10307,7580,AMAZONAS,BONGARA,JAZAN,AMAZONASBONGARAJAZAN,860,11.35,43,5,62,69.35
35,10308,208,AMAZONAS,BONGARA,RECTA,AMAZONASBONGARARECTA,1,0.48,0,0,2,0
36,10309,489,AMAZONAS,BONGARA,SAN CARLOS,AMAZONASBONGARASANCARLOS,4,0.82,1,25,3,33.33
37,10310,1539,AMAZONAS,BONGARA,SHIPASBAMBA,AMAZONASBONGARASHIPASBAMBA,35,2.27,3,8.57,7,42.86
38,10311,874,AMAZONAS,BONGARA,VALERA,AMAZONASBONGARAVALERA,41,4.69,3,7.32,9,33.33
39,10312,5577,AMAZONAS,BONGARA,YAMBRASBAMBA,AMAZONASBONGARAYAMBRASBAMBA,30,0.54,0,0,26,0
40,10401,18626,AMAZONAS,CONDORCANQUI,NIEVA,AMAZONASCONDORCANQUINIEVA,2383,12.79,57,2.39,65,87.69
41,10402,9891,AMAZONAS,CONDORCANQUI,EL CENEPA,AMAZONASCONDORCANQUIELCENEPA,966,9.77,21,2.17,10,210
42,10403,13953,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,AMAZONASCONDORCANQUIRIOSANTIAGO,619,4.44,16,2.58,14,114.29
43,10501,2227,AMAZONAS,LUYA,LAMUD,AMAZONASLUYALAMUD,161,7.23,5,3.11,34,14.71
44,10502,6473,AMAZONAS,LUYA,CAMPORREDONDO,AMAZONASLUYACAMPORREDONDO,75,1.16,7,9.33,21,33.33
45,10503,1881,AMAZONAS,LUYA,COCABAMBA,AMAZONASLUYACOCABAMBA,33,1.75,4,12.12,5,80
46,10504,1853,AMAZONAS,LUYA,COLCAMAR,AMAZONASLUYACOLCAMAR,52,2.81,6,11.54,9,66.67
47,10505,1840,AMAZONAS,LUYA,CONILA,AMAZONASLUYACONILA,41,2.23,4,9.76,11,36.36
48,10506,498,AMAZONAS,LUYA,INGUILPATA,AMAZONASLUYAINGUILPATA,8,1.61,1,12.5,3,33.33
49,10507,839,AMAZONAS,LUYA,LONGUITA,AMAZONASLUYALONGUITA,18,2.15,1,5.56,3,33.33
50,10508,842,AMAZONAS,LUYA,LONYA CHICO,AMAZONASLUYALONYACHICO,14,1.66,3,21.43,8,37.5
51,10509,3959,AMAZONAS,LUYA,LUYA,AMAZONASLUYALUYA,201,5.08,13,6.47,23,56.52
52,10510,388,AMAZONAS,LUYA,LUYA VIEJO,AMAZONASLUYALUYAVIEJO,6,1.55,3,50,4,75
53,10511,744,AMAZONAS,LUYA,MARIA,AMAZONASLUYAMARIA,39,5.24,0,0,2,0
54,10512,3556,AMAZONAS,LUYA,OCALLI,AMAZONASLUYAOCALLI,191,5.37,3,1.57,3,100
55,10513,3446,AMAZONAS,LUYA,OCUMAL,AMAZONASLUYAOCUMAL,162,4.7,4,2.47,25,16
56,10514,4768,AMAZONAS,LUYA,PISUQUIA,AMAZONASLUYAPISUQUIA,168,3.52,8,4.76,11,72.73
57,10515,1316,AMAZONAS,LUYA,PROVIDENCIA,AMAZONASLUYAPROVIDENCIA,22,1.67,0,0,4,0
58,10516,546,AMAZONAS,LUYA,SAN CRISTOBAL,AMAZONASLUYASANCRISTOBAL,5,0.92,1,20,6,16.67
59,10517,695,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,AMAZONASLUYASANFRANCISCODEYESO,42,6.04,1,2.38,11,9.09
60,10518,633,AMAZONAS,LUYA,SAN JERONIMO,AMAZONASLUYASANJERONIMO,19,3,2,10.53,11,18.18
61,10519,419,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,AMAZONASLUYASANJUANDELOPECANCHA,0,0,0,NA,4,0
62,10520,1888,AMAZONAS,LUYA,SANTA CATALINA,AMAZONASLUYASANTACATALINA,51,2.7,0,0,2,0
63,10521,3012,AMAZONAS,LUYA,SANTO TOMAS,AMAZONASLUYASANTOTOMAS,29,0.96,5,17.24,25,20
64,10522,1265,AMAZONAS,LUYA,TINGO,AMAZONASLUYATINGO,114,9.01,8,7.02,9,88.89
65,10523,1348,AMAZONAS,LUYA,TRITA,AMAZONASLUYATRITA,9,0.67,0,0,10,0
66,10601,6016,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,AMAZONASRODRIGUEZDEMENDOZASANNICOLAS,554,9.21,28,5.05,25,112
67,10602,2498,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,AMAZONASRODRIGUEZDEMENDOZACHIRIMOTO,54,2.16,0,0,2,0
68,10603,595,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,AMAZONASRODRIGUEZDEMENDOZACOCHAMAL,19,3.19,1,5.26,1,100
69,10604,2620,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,AMAZONASRODRIGUEZDEMENDOZAHUAMBO,107,4.08,3,2.8,15,20
70,10605,2280,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,AMAZONASRODRIGUEZDEMENDOZALIMABAMBA,53,2.32,2,3.77,13,15.38
71,10606,1631,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,AMAZONASRODRIGUEZDEMENDOZALONGAR,49,3,3,6.12,2,150
72,10607,1506,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,AMAZONASRODRIGUEZDEMENDOZAMARISCALBENAVIDES,118,7.84,4,3.39,5,80
73,10608,453,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,AMAZONASRODRIGUEZDEMENDOZAMILPUCC,0,0,1,Inf,5,20
