,CODIGO,POBLACION,DEPARTAMENTO,PROVINCIA,LLAVE,CASOS POR PROVINCIA,PORCENTAJE_PROVINCIA,FALLECIDOS POR PROVINCIA,MORTALIDAD_PROVINCIA,FALLECIDOS_SINADEF,PORC_MUERTES_COVID
1,101,55506,AMAZONAS,CHACHAPOYAS,AMAZONASCHACHAPOYAS,6525,11.76,243,3.72,541,44.92
2,102,74100,AMAZONAS,BAGUA,AMAZONASBAGUA,10267,13.86,407,3.96,432,94.21
3,103,25637,AMAZONAS,BONGARA,AMAZONASBONGARA,1234,4.81,64,5.19,166,38.55
4,104,42470,AMAZONAS,CONDORCANQUI,AMAZONASCONDORCANQUI,3968,9.34,94,2.37,89,105.62
5,105,44436,AMAZONAS,LUYA,AMAZONASLUYA,1460,3.29,79,5.41,244,32.38
6,106,29998,AMAZONAS,RODRIGUEZ DE MENDOZA,AMAZONASRODRIGUEZDEMENDOZA,1155,3.85,51,4.42,98,52.04
7,107,107237,AMAZONAS,UTCUBAMBA,AMAZONASUTCUBAMBA,6452,6.02,301,4.67,329,91.49
8,201,163936,ANCASH,HUARAZ,ANCASHHUARAZ,15876,9.68,1036,6.53,2218,46.71
9,202,6316,ANCASH,AIJA,ANCASHAIJA,309,4.89,17,5.5,89,19.1
10,203,13650,ANCASH,ANTONIO RAYMONDI,ANCASHANTONIORAIMONDI,172,1.26,29,16.86,123,23.58
11,204,7378,ANCASH,ASUNCION,ANCASHASUNCION,351,4.76,20,5.7,99,20.2
12,205,23797,ANCASH,BOLOGNESI,ANCASHBOLOGNESI,1245,5.23,81,6.51,274,29.56
13,206,45184,ANCASH,CARHUAZ,ANCASHCARHUAZ,1597,3.53,139,8.7,622,22.35
14,207,17717,ANCASH,CARLOS FERMIN FITZCARRALD,ANCASHCARLOSFERMINFITZCARRALD,139,0.78,30,21.58,194,15.46
15,208,50989,ANCASH,CASMA,ANCASHCASMA,2604,5.11,329,12.63,751,43.81
16,209,7532,ANCASH,CORONGO,ANCASHCORONGO,163,2.16,18,11.04,81,22.22
17,210,58714,ANCASH,HUARI,ANCASHHUARI,1104,1.88,131,11.87,698,18.77
18,211,30560,ANCASH,HUARMEY,ANCASHHUARMEY,3123,10.22,216,6.92,455,47.47
19,212,51334,ANCASH,HUAYLAS,ANCASHHUAYLAS,2949,5.74,208,7.05,721,28.85
20,213,20284,ANCASH,MARISCAL LUZURIAGA,ANCASHMARISCALLUZURIAGA,364,1.79,44,12.09,237,18.57
21,214,7039,ANCASH,OCROS,ANCASHOCROS,300,4.26,22,7.33,77,28.57
