DEPARTAMENTO,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF
AMAZONAS,202003,0,0,68
AMAZONAS,202004,165,1,64
AMAZONAS,202005,618,25,82
AMAZONAS,202006,1762,77,117
AMAZONAS,202007,4172,66,201
AMAZONAS,202008,5159,20,128
AMAZONAS,202009,3752,22,95
AMAZONAS,202010,1681,15,75
AMAZONAS,202011,822,14,58
AMAZONAS,202012,431,10,67
AMAZONAS,202101,1185,30,105
AMAZONAS,202102,1525,39,127
AMAZONAS,202103,2088,46,123
AMAZONAS,202104,3248,80,149
AMAZONAS,202105,1967,84,145
ANCASH,202003,13,2,503
ANCASH,202004,945,86,537
ANCASH,202005,3803,303,1009
ANCASH,202006,3595,399,1169
ANCASH,202007,4300,199,1147
ANCASH,202008,6391,173,970
ANCASH,202009,4229,126,644
ANCASH,202010,3763,73,543
ANCASH,202011,1951,57,523
ANCASH,202012,2084,88,582
ANCASH,202101,5751,178,940
ANCASH,202102,5828,169,931
ANCASH,202103,9179,270,1275
ANCASH,202104,11248,517,1711
ANCASH,202105,5995,424,1250
APURIMAC,202003,0,0,122
APURIMAC,202004,156,2,139
APURIMAC,202005,130,4,158
APURIMAC,202006,332,16,175
APURIMAC,202007,417,21,186
APURIMAC,202008,2058,24,248
APURIMAC,202009,1882,27,248
APURIMAC,202010,971,25,205
APURIMAC,202011,690,22,196
APURIMAC,202012,1043,21,243
APURIMAC,202101,2035,51,335
APURIMAC,202102,1690,56,296
APURIMAC,202103,2601,65,373
APURIMAC,202104,5808,142,470
APURIMAC,202105,3234,148,450
AREQUIPA,202003,30,2,566
AREQUIPA,202004,803,32,576
AREQUIPA,202005,2863,47,657
AREQUIPA,202006,3554,215,1209
AREQUIPA,202007,8087,491,2652
AREQUIPA,202008,18879,400,1901
AREQUIPA,202009,8457,188,837
AREQUIPA,202010,2569,101,658
AREQUIPA,202011,1447,78,618
AREQUIPA,202012,1874,92,702
AREQUIPA,202101,5671,151,1095
AREQUIPA,202102,6833,231,1214
AREQUIPA,202103,5167,136,1077
AREQUIPA,202104,6919,294,1112
AREQUIPA,202105,11148,471,1649
AYACUCHO,202003,1,0,137
AYACUCHO,202004,151,1,139
AYACUCHO,202005,698,22,186
AYACUCHO,202006,1052,48,183
AYACUCHO,202007,2349,128,257
AYACUCHO,202008,4581,60,344
AYACUCHO,202009,3111,40,253
AYACUCHO,202010,1767,32,210
AYACUCHO,202011,943,20,199
AYACUCHO,202012,721,24,286
AYACUCHO,202101,1627,42,303
AYACUCHO,202102,2517,82,399
AYACUCHO,202103,3655,112,592
AYACUCHO,202104,3243,119,463
AYACUCHO,202105,2432,119,422
CAJAMARCA,202003,1,0,290
CAJAMARCA,202004,271,16,260
CAJAMARCA,202005,558,22,315
CAJAMARCA,202006,1582,112,409
CAJAMARCA,202007,5571,142,870
CAJAMARCA,202008,8874,103,713
CAJAMARCA,202009,4231,84,506
CAJAMARCA,202010,1835,48,394
CAJAMARCA,202011,1294,42,324
CAJAMARCA,202012,1252,49,357
CAJAMARCA,202101,3504,69,526
CAJAMARCA,202102,4456,113,622
CAJAMARCA,202103,8354,123,868
CAJAMARCA,202104,10621,324,1143
CAJAMARCA,202105,6146,264,887
CALLAO,202003,46,6,422
CALLAO,202004,4228,206,663
CALLAO,202005,8648,646,1721
CALLAO,202006,5672,360,1582
CALLAO,202007,3827,175,1213
CALLAO,202008,6443,197,1067
CALLAO,202009,6018,175,748
