ubigeo_inei,DEPARTAMENTO,PROVINCIA,DISTRITO,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202003,0,0,16
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202004,47,0,5
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202005,165,0,10
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202006,119,0,15
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202007,175,1,6
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202008,445,4,28
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202009,551,5,27
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202010,307,4,15
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202011,106,4,8
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202012,64,1,10
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202101,478,4,19
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202102,599,7,29
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202103,925,7,29
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202104,881,25,45
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,202105,426,25,45
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202003,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202004,3,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202005,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202006,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202007,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202008,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202009,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202010,1,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202011,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202012,0,0,0
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,202101,0,0,0
