ubigeo_inei,DEPARTAMENTO,PROVINCIA,FECHA,CASOS,FALLECIDOS,FALLECIDOS_SINADEF
101,AMAZONAS,CHACHAPOYAS,202003,0,0,24
101,AMAZONAS,CHACHAPOYAS,202004,59,0,11
101,AMAZONAS,CHACHAPOYAS,202005,181,0,19
101,AMAZONAS,CHACHAPOYAS,202006,130,0,27
101,AMAZONAS,CHACHAPOYAS,202007,192,2,14
101,AMAZONAS,CHACHAPOYAS,202008,493,5,35
101,AMAZONAS,CHACHAPOYAS,202009,601,7,33
101,AMAZONAS,CHACHAPOYAS,202010,333,4,23
101,AMAZONAS,CHACHAPOYAS,202011,118,4,18
101,AMAZONAS,CHACHAPOYAS,202012,67,2,20
101,AMAZONAS,CHACHAPOYAS,202101,519,7,30
101,AMAZONAS,CHACHAPOYAS,202102,674,12,45
101,AMAZONAS,CHACHAPOYAS,202103,1040,10,39
101,AMAZONAS,CHACHAPOYAS,202104,1023,29,57
101,AMAZONAS,CHACHAPOYAS,202105,490,27,57
102,AMAZONAS,BAGUA,202003,0,0,7
102,AMAZONAS,BAGUA,202004,39,0,17
102,AMAZONAS,BAGUA,202005,177,5,16
102,AMAZONAS,BAGUA,202006,723,36,39
102,AMAZONAS,BAGUA,202007,1750,41,120
102,AMAZONAS,BAGUA,202008,2519,5,42
102,AMAZONAS,BAGUA,202009,2026,4,17
102,AMAZONAS,BAGUA,202010,500,2,16
102,AMAZONAS,BAGUA,202011,279,4,15
102,AMAZONAS,BAGUA,202012,113,3,6
102,AMAZONAS,BAGUA,202101,96,1,17
102,AMAZONAS,BAGUA,202102,154,6,21
102,AMAZONAS,BAGUA,202103,231,7,13
102,AMAZONAS,BAGUA,202104,593,8,24
102,AMAZONAS,BAGUA,202105,482,13,17
103,AMAZONAS,BONGARA,202003,0,0,8
103,AMAZONAS,BONGARA,202004,14,0,4
103,AMAZONAS,BONGARA,202005,9,0,6
103,AMAZONAS,BONGARA,202006,22,0,4
103,AMAZONAS,BONGARA,202007,58,2,8
103,AMAZONAS,BONGARA,202008,89,2,11
103,AMAZONAS,BONGARA,202009,111,4,13
103,AMAZONAS,BONGARA,202010,42,2,7
103,AMAZONAS,BONGARA,202011,22,0,6
103,AMAZONAS,BONGARA,202012,22,0,11
103,AMAZONAS,BONGARA,202101,66,3,16
103,AMAZONAS,BONGARA,202102,83,2,12
103,AMAZONAS,BONGARA,202103,151,4,6
103,AMAZONAS,BONGARA,202104,241,5,14
103,AMAZONAS,BONGARA,202105,161,5,13
104,AMAZONAS,CONDORCANQUI,202003,0,0,1
104,AMAZONAS,CONDORCANQUI,202004,0,0,2
104,AMAZONAS,CONDORCANQUI,202005,3,2,5
104,AMAZONAS,CONDORCANQUI,202006,190,10,6
104,AMAZONAS,CONDORCANQUI,202007,1071,9,14
104,AMAZONAS,CONDORCANQUI,202008,980,0,1
104,AMAZONAS,CONDORCANQUI,202009,461,0,6
104,AMAZONAS,CONDORCANQUI,202010,454,0,3
104,AMAZONAS,CONDORCANQUI,202011,227,1,2
104,AMAZONAS,CONDORCANQUI,202012,95,0,3
104,AMAZONAS,CONDORCANQUI,202101,39,0,3
104,AMAZONAS,CONDORCANQUI,202102,18,0,4
104,AMAZONAS,CONDORCANQUI,202103,65,1,14
104,AMAZONAS,CONDORCANQUI,202104,127,0,7
104,AMAZONAS,CONDORCANQUI,202105,57,1,5
105,AMAZONAS,LUYA,202003,0,0,9
105,AMAZONAS,LUYA,202004,0,0,8
105,AMAZONAS,LUYA,202005,22,2,8
105,AMAZONAS,LUYA,202006,108,1,12
105,AMAZONAS,LUYA,202007,47,3,16
105,AMAZONAS,LUYA,202008,150,1,16
105,AMAZONAS,LUYA,202009,67,2,11
105,AMAZONAS,LUYA,202010,30,1,13
105,AMAZONAS,LUYA,202011,17,1,5
105,AMAZONAS,LUYA,202012,14,1,9
105,AMAZONAS,LUYA,202101,21,3,16
105,AMAZONAS,LUYA,202102,80,5,11
105,AMAZONAS,LUYA,202103,107,7,22
105,AMAZONAS,LUYA,202104,381,10,20
105,AMAZONAS,LUYA,202105,179,3,23
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202003,0,0,1
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202004,2,0,0
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202005,1,0,3
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202006,31,2,4
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202007,15,1,4
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202008,14,1,5
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202009,13,1,3
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202010,12,1,4
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202011,4,0,4
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202012,18,1,4
106,AMAZONAS,RODRIGUEZ DE MENDOZA,202101,201,4,5
